version,model,qty,month
forecast,A4,72,2024-12
actual,A4,64,2024-12
forecast,A4,76,2025-01
actual,A4,70,2025-01
forecast,A4,80,2025-02
actual,A4,82,2025-02
forecast,A4,79,2025-03
actual,A4,73,2025-03
forecast,A4,78,2025-04
actual,A4,73,2025-04
forecast,A4,80,2025-05
actual,A4,84,2025-05
forecast,A4,81,2025-06
actual,A4,74,2025-06
forecast,A4,85,2025-07
actual,A4,74,2025-07
forecast,A4,87,2025-08
actual,A4,91,2025-08
forecast,A4,85,2025-09
actual,A4,79,2025-09
forecast,A4,83,2025-10
actual,A4,89,2025-10
forecast,A5,72,2024-11
actual,A5,69,2024-11
forecast,A5,74,2024-12
actual,A5,73,2024-12
forecast,A5,73,2025-01
actual,A5,78,2025-01
forecast,A5,75,2025-02
actual,A5,67,2025-02
forecast,A5,73,2025-03
actual,A5,69,2025-03
forecast,A5,74,2025-04
actual,A5,71,2025-04
forecast,A5,72,2025-05
actual,A5,68,2025-05
forecast,A5,76,2025-06
actual,A5,82,2025-06
forecast,A5,74,2025-07
actual,A5,69,2025-07
forecast,A5,76,2025-08
actual,A5,77,2025-08
forecast,A5,76,2025-09
actual,A5,75,2025-09
forecast,A5,80,2025-10
actual,A5,86,2025-10
forecast,A6,83,2024-11
actual,A6,88,2024-11
forecast,A6,82,2024-12
actual,A6,73,2024-12
forecast,A6,85,2025-01
actual,A6,76,2025-01
forecast,A6,86,2025-02
actual,A6,77,2025-02
forecast,A6,91,2025-03
actual,A6,94,2025-03
forecast,A6,92,2025-04
actual,A6,93,2025-04
forecast,A6,95,2025-05
actual,A6,87,2025-05
forecast,A6,94,2025-06
actual,A6,95,2025-06
forecast,A6,94,2025-07
actual,A6,82,2025-07
forecast,A6,95,2025-08
actual,A6,86,2025-08
forecast,A6,100,2025-09
actual,A6,94,2025-09
forecast,A6,104,2025-10
actual,A6,109,2025-10
forecast,A7,86,2024-11
actual,A7,86,2024-11
forecast,A7,87,2024-12
actual,A7,80,2024-12
forecast,A7,85,2025-01
actual,A7,88,2025-01
forecast,A7,85,2025-02
actual,A7,83,2025-02
forecast,A7,88,2025-03
actual,A7,92,2025-03
forecast,A7,88,2025-04
actual,A7,76,2025-04
forecast,A7,92,2025-05
actual,A7,84,2025-05
forecast,A7,94,2025-06
actual,A7,101,2025-06
forecast,A7,92,2025-07
actual,A7,91,2025-07
forecast,A7,92,2025-08
actual,A7,95,2025-08
forecast,A7,93,2025-09
actual,A7,100,2025-09
forecast,A7,91,2025-10
actual,A7,96,2025-10
forecast,A8,93,2024-11
actual,A8,81,2024-11
forecast,A8,94,2024-12
actual,A8,92,2024-12
forecast,A8,98,2025-01
actual,A8,99,2025-01
forecast,A8,103,2025-02
actual,A8,105,2025-02
forecast,A8,102,2025-03
actual,A8,97,2025-03
forecast,A8,108,2025-04
actual,A8,115,2025-04
forecast,A8,111,2025-05
actual,A8,112,2025-05
forecast,A8,109,2025-06
actual,A8,115,2025-06
forecast,A8,111,2025-07
actual,A8,112,2025-07
forecast,A8,111,2025-08
actual,A8,112,2025-08
forecast,A8,113,2025-09
actual,A8,102,2025-09
forecast,A8,116,2025-10
actual,A8,109,2025-10
forecast,A9,105,2024-11
actual,A9,94,2024-11
forecast,A9,107,2024-12
actual,A9,102,2024-12
forecast,A9,112,2025-01
actual,A9,104,2025-01
forecast,A9,111,2025-02
actual,A9,115,2025-02
forecast,A9,114,2025-03
actual,A9,106,2025-03
forecast,A9,115,2025-04
actual,A9,116,2025-04
forecast,A9,117,2025-05
actual,A9,121,2025-05
forecast,A9,124,2025-06
actual,A9,127,2025-06
forecast,A9,128,2025-07
actual,A9,118,2025-07
forecast,A9,132,2025-08
actual,A9,132,2025-08
forecast,A9,129,2025-09
actual,A9,138,2025-09
forecast,A9,128,2025-10
actual,A9,119,2025-10
forecast,A10,113,2024-11
actual,A10,101,2024-11
forecast,A10,110,2024-12
actual,A10,118,2024-12
forecast,A10,113,2025-01
actual,A10,116,2025-01
forecast,A10,114,2025-02
actual,A10,120,2025-02
forecast,A10,116,2025-03
actual,A10,118,2025-03
forecast,A10,117,2025-04
actual,A10,111,2025-04
forecast,A10,115,2025-05
actual,A10,116,2025-05
forecast,A10,121,2025-06
actual,A10,127,2025-06
forecast,A10,127,2025-07
actual,A10,131,2025-07
forecast,A10,126,2025-08
actual,A10,131,2025-08
forecast,A10,130,2025-09
actual,A10,125,2025-09
forecast,A10,133,2025-10
actual,A10,141,2025-10
forecast,B1,44,2024-11
actual,B1,39,2024-11
forecast,B1,45,2024-12
actual,B1,44,2024-12
forecast,B1,46,2025-01
actual,B1,43,2025-01
forecast,B1,48,2025-02
actual,B1,46,2025-02
forecast,B1,50,2025-03
actual,B1,53,2025-03
forecast,B1,50,2025-04
actual,B1,53,2025-04
forecast,B1,51,2025-05
actual,B1,46,2025-05
forecast,B1,53,2025-06
actual,B1,51,2025-06
forecast,B1,55,2025-07
actual,B1,57,2025-07
forecast,B1,55,2025-08
actual,B1,57,2025-08
forecast,B1,56,2025-09
actual,B1,51,2025-09
forecast,B1,57,2025-10
actual,B1,58,2025-10
forecast,B2,52,2024-11
actual,B2,49,2024-11
forecast,B2,55,2024-12
actual,B2,48,2024-12
forecast,B2,54,2025-01
actual,B2,51,2025-01
forecast,B2,53,2025-02
actual,B2,48,2025-02
forecast,B2,53,2025-03
actual,B2,49,2025-03
forecast,B2,54,2025-04
actual,B2,47,2025-04
forecast,B2,56,2025-05
actual,B2,53,2025-05
forecast,B2,58,2025-06
actual,B2,62,2025-06
forecast,B2,56,2025-07
actual,B2,59,2025-07
forecast,B2,57,2025-08
actual,B2,55,2025-08
forecast,B2,60,2025-09
actual,B2,56,2025-09
forecast,B2,60,2025-10
actual,B2,63,2025-10
forecast,B3,62,2024-11
actual,B3,61,2024-11
forecast,B3,64,2024-12
actual,B3,66,2024-12
forecast,B3,67,2025-01
actual,B3,65,2025-01
forecast,B3,67,2025-02
actual,B3,65,2025-02
forecast,B3,67,2025-03
actual,B3,67,2025-03
forecast,B3,70,2025-04
actual,B3,71,2025-04
forecast,B3,73,2025-05
actual,B3,78,2025-05
forecast,B3,77,2025-06
actual,B3,75,2025-06
forecast,B3,81,2025-07
actual,B3,80,2025-07
forecast,B3,83,2025-08
actual,B3,73,2025-08
forecast,B3,84,2025-09
actual,B3,88,2025-09
forecast,B3,83,2025-10
actual,B3,76,2025-10
forecast,B4,66,2024-11
actual,B4,63,2024-11
forecast,B4,66,2024-12
actual,B4,70,2024-12
forecast,B4,66,2025-01
actual,B4,71,2025-01
forecast,B4,67,2025-02
actual,B4,70,2025-02
forecast,B4,68,2025-03
actual,B4,70,2025-03
forecast,B4,66,2025-04
actual,B4,71,2025-04
forecast,B4,65,2025-05
actual,B4,57,2025-05
forecast,B4,69,2025-06
actual,B4,60,2025-06
forecast,B4,67,2025-07
actual,B4,61,2025-07
forecast,B4,70,2025-08
actual,B4,70,2025-08
forecast,B4,69,2025-09
actual,B4,67,2025-09
forecast,B4,68,2025-10
actual,B4,73,2025-10
forecast,B5,74,2024-11
actual,B5,68,2024-11
forecast,B5,74,2024-12
actual,B5,74,2024-12
forecast,B5,78,2025-01
actual,B5,79,2025-01
forecast,B5,81,2025-02
actual,B5,73,2025-02
forecast,B5,81,2025-03
actual,B5,80,2025-03
forecast,B5,85,2025-04
actual,B5,84,2025-04
forecast,B5,89,2025-05
actual,B5,42,2025-05
forecast,B5,94,2025-06
actual,B5,41,2025-06
forecast,B5,96,2025-07
actual,B5,53,2025-07
forecast,B5,95,2025-08
actual,B5,50,2025-08
forecast,B5,95,2025-09
actual,B5,50,2025-09
forecast,B5,99,2025-10
actual,B5,54,2025-10
forecast,B6,82,2024-11
actual,B6,71,2024-11
forecast,B6,83,2024-12
actual,B6,83,2024-12
forecast,B6,81,2025-01
actual,B6,81,2025-01
forecast,B6,79,2025-02
actual,B6,75,2025-02
forecast,B6,80,2025-03
actual,B6,76,2025-03
forecast,B6,80,2025-04
actual,B6,84,2025-04
forecast,B6,81,2025-05
actual,B6,72,2025-05
forecast,B6,80,2025-06
actual,B6,78,2025-06
forecast,B6,82,2025-07
actual,B6,82,2025-07
forecast,B6,86,2025-08
actual,B6,89,2025-08
forecast,B6,87,2025-09
actual,B6,91,2025-09
forecast,B6,89,2025-10
actual,B6,83,2025-10
forecast,B7,86,2024-11
actual,B7,92,2024-11
forecast,B7,86,2024-12
actual,B7,82,2024-12
forecast,B7,89,2025-01
actual,B7,88,2025-01
forecast,B7,92,2025-02
actual,B7,86,2025-02
forecast,B7,93,2025-03
actual,B7,87,2025-03
forecast,B7,94,2025-04
actual,B7,88,2025-04
forecast,B7,93,2025-05
actual,B7,86,2025-05
forecast,B7,95,2025-06
actual,B7,100,2025-06
forecast,B7,97,2025-07
actual,B7,94,2025-07
forecast,B7,96,2025-08
actual,B7,88,2025-08
forecast,B7,97,2025-09
actual,B7,95,2025-09
forecast,B7,96,2025-10
actual,B7,93,2025-10
forecast,B8,97,2024-11
actual,B8,93,2024-11
forecast,B8,94,2024-12
actual,B8,87,2024-12
forecast,B8,95,2025-01
actual,B8,87,2025-01
forecast,B8,98,2025-02
actual,B8,92,2025-02
forecast,B8,100,2025-03
actual,B8,94,2025-03
forecast,B8,106,2025-04
actual,B8,104,2025-04
forecast,B8,106,2025-05
actual,B8,102,2025-05
forecast,B8,106,2025-06
actual,B8,97,2025-06
forecast,B8,110,2025-07
actual,B8,102,2025-07
forecast,B8,114,2025-08
actual,B8,122,2025-08
forecast,B8,118,2025-09
actual,B8,106,2025-09
forecast,B8,122,2025-10
actual,B8,112,2025-10
forecast,B9,103,2024-11
actual,B9,106,2024-11
forecast,B9,105,2024-12
actual,B9,113,2024-12
forecast,B9,110,2025-01
actual,B9,102,2025-01
forecast,B9,110,2025-02
actual,B9,102,2025-02
forecast,B9,114,2025-03
actual,B9,101,2025-03
forecast,B9,111,2025-04
actual,B9,97,2025-04
forecast,B9,111,2025-05
actual,B9,119,2025-05
forecast,B9,114,2025-06
actual,B9,117,2025-06
forecast,B9,112,2025-07
actual,B9,97,2025-07
forecast,B9,112,2025-08
actual,B9,108,2025-08
forecast,B9,112,2025-09
actual,B9,120,2025-09
forecast,B9,111,2025-10
actual,B9,117,2025-10
forecast,B10,106,2024-11
actual,B10,93,2024-11
forecast,B10,108,2024-12
actual,B10,107,2024-12
forecast,B10,111,2025-01
actual,B10,99,2025-01
forecast,B10,116,2025-02
actual,B10,124,2025-02
forecast,B10,113,2025-03
actual,B10,103,2025-03
forecast,B10,115,2025-04
actual,B10,109,2025-04
forecast,B10,118,2025-05
actual,B10,118,2025-05
forecast,B10,123,2025-06
actual,B10,116,2025-06
forecast,B10,129,2025-07
actual,B10,119,2025-07
forecast,B10,132,2025-08
actual,B10,126,2025-08
forecast,B10,135,2025-09
actual,B10,118,2025-09
forecast,B10,143,2025-10
actual,B10,126,2025-10
forecast,C1,47,2024-11
actual,C1,47,2024-11
forecast,C1,47,2024-12
actual,C1,41,2024-12
forecast,C1,47,2025-01
actual,C1,46,2025-01
forecast,C1,46,2025-02
actual,C1,44,2025-02
forecast,C1,47,2025-03
actual,C1,45,2025-03
forecast,C1,46,2025-04
actual,C1,42,2025-04
forecast,C1,46,2025-05
actual,C1,48,2025-05
forecast,C1,45,2025-06
actual,C1,41,2025-06
forecast,C1,45,2025-07
actual,C1,47,2025-07
forecast,C1,46,2025-08
actual,C1,48,2025-08
forecast,C1,45,2025-09
actual,C1,40,2025-09
forecast,C1,45,2025-10
actual,C1,40,2025-10
forecast,C2,52,2024-11
actual,C2,46,2024-11
forecast,C2,51,2024-12
actual,C2,53,2024-12
forecast,C2,52,2025-01
actual,C2,54,2025-01
forecast,C2,55,2025-02
actual,C2,53,2025-02
forecast,C2,56,2025-03
actual,C2,52,2025-03
forecast,C2,56,2025-04
actual,C2,52,2025-04
forecast,C2,57,2025-05
actual,C2,55,2025-05
forecast,C2,58,2025-06
actual,C2,61,2025-06
forecast,C2,60,2025-07
actual,C2,60,2025-07
forecast,C2,58,2025-08
actual,C2,53,2025-08
forecast,C2,60,2025-09
actual,C2,63,2025-09
forecast,C2,61,2025-10
actual,C2,53,2025-10
forecast,C3,61,2024-11
actual,C3,63,2024-11
forecast,C3,62,2024-12
actual,C3,64,2024-12
forecast,C3,61,2025-01
actual,C3,59,2025-01
forecast,C3,62,2025-02
actual,C3,57,2025-02
forecast,C3,66,2025-03
actual,C3,63,2025-03
forecast,C3,69,2025-04
actual,C3,74,2025-04
forecast,C3,70,2025-05
actual,C3,66,2025-05
forecast,C3,70,2025-06
actual,C3,62,2025-06
forecast,C3,69,2025-07
actual,C3,66,2025-07
forecast,C3,70,2025-08
actual,C3,70,2025-08
forecast,C3,70,2025-09
actual,C3,72,2025-09
forecast,C3,68,2025-10
actual,C3,60,2025-10
forecast,C4,66,2024-11
actual,C4,58,2024-11
forecast,C4,69,2024-12
actual,C4,72,2024-12
forecast,C4,72,2025-01
actual,C4,62,2025-01
forecast,C4,75,2025-02
actual,C4,72,2025-02
forecast,C4,73,2025-03
actual,C4,71,2025-03
forecast,C4,75,2025-04
actual,C4,73,2025-04
forecast,C4,76,2025-05
actual,C4,66,2025-05
forecast,C4,76,2025-06
actual,C4,68,2025-06
forecast,C4,76,2025-07
actual,C4,80,2025-07
forecast,C4,77,2025-08
actual,C4,67,2025-08
forecast,C4,79,2025-09
actual,C4,82,2025-09
forecast,C4,82,2025-10
actual,C4,76,2025-10
forecast,C5,71,2024-11
actual,C5,67,2024-11
forecast,C5,70,2024-12
actual,C5,73,2024-12
forecast,C5,69,2025-01
actual,C5,74,2025-01
forecast,C5,71,2025-02
actual,C5,63,2025-02
forecast,C5,75,2025-03
actual,C5,69,2025-03
forecast,C5,78,2025-04
actual,C5,74,2025-04
forecast,C5,79,2025-05
actual,C5,76,2025-05
forecast,C5,80,2025-06
actual,C5,71,2025-06
forecast,C5,79,2025-07
actual,C5,78,2025-07
forecast,C5,82,2025-08
actual,C5,73,2025-08
forecast,C5,80,2025-09
actual,C5,82,2025-09
forecast,C5,84,2025-10
actual,C5,79,2025-10
forecast,C6,83,2024-11
actual,C6,76,2024-11
forecast,C6,81,2024-12
actual,C6,83,2024-12
forecast,C6,85,2025-01
actual,C6,84,2025-01
forecast,C6,87,2025-02
actual,C6,91,2025-02
forecast,C6,88,2025-03
actual,C6,85,2025-03
forecast,C6,88,2025-04
actual,C6,90,2025-04
forecast,C6,88,2025-05
actual,C6,94,2025-05
forecast,C6,92,2025-06
actual,C6,99,2025-06
forecast,C6,91,2025-07
actual,C6,86,2025-07
forecast,C6,95,2025-08
actual,C6,90,2025-08
forecast,C6,95,2025-09
actual,C6,92,2025-09
forecast,C6,100,2025-10
actual,C6,94,2025-10
forecast,C7,92,2024-11
actual,C7,95,2024-11
forecast,C7,95,2024-12
actual,C7,85,2024-12
forecast,C7,100,2025-01
actual,C7,89,2025-01
forecast,C7,106,2025-02
actual,C7,99,2025-02
forecast,C7,104,2025-03
actual,C7,109,2025-03
forecast,C7,102,2025-04
actual,C7,108,2025-04
forecast,C7,99,2025-05
actual,C7,88,2025-05
forecast,C7,104,2025-06
actual,C7,112,2025-06
forecast,C7,102,2025-07
actual,C7,105,2025-07
forecast,C7,101,2025-08
actual,C7,101,2025-08
forecast,C7,102,2025-09
actual,C7,90,2025-09
forecast,C7,102,2025-10
actual,C7,103,2025-10
forecast,C8,96,2024-11
actual,C8,103,2024-11
forecast,C8,99,2024-12
actual,C8,104,2024-12
forecast,C8,100,2025-01
actual,C8,98,2025-01
forecast,C8,103,2025-02
actual,C8,94,2025-02
forecast,C8,106,2025-03
actual,C8,98,2025-03
forecast,C8,105,2025-04
actual,C8,92,2025-04
forecast,C8,111,2025-05
actual,C8,142,2025-05
forecast,C8,115,2025-06
actual,C8,134,2025-06
forecast,C8,113,2025-07
actual,C8,136,2025-07
forecast,C8,110,2025-08
actual,C8,133,2025-08
forecast,C8,107,2025-09
actual,C8,130,2025-09
forecast,C8,108,2025-10
actual,C8,129,2025-10
forecast,C9,102,2024-11
actual,C9,103,2024-11
forecast,C9,101,2024-12
actual,C9,91,2024-12
forecast,C9,104,2025-01
actual,C9,98,2025-01
forecast,C9,107,2025-02
actual,C9,104,2025-02
forecast,C9,109,2025-03
actual,C9,99,2025-03
forecast,C9,112,2025-04
actual,C9,108,2025-04
forecast,C9,115,2025-05
actual,C9,122,2025-05
forecast,C9,116,2025-06
actual,C9,107,2025-06
forecast,C9,118,2025-07
actual,C9,103,2025-07
forecast,C9,124,2025-08
actual,C9,134,2025-08
forecast,C9,124,2025-09
actual,C9,133,2025-09
forecast,C9,128,2025-10
actual,C9,123,2025-10
forecast,C10,108,2024-11
actual,C10,117,2024-11
forecast,C10,113,2024-12
actual,C10,100,2024-12
forecast,C10,113,2025-01
actual,C10,106,2025-01
forecast,C10,113,2025-02
actual,C10,115,2025-02
forecast,C10,110,2025-03
actual,C10,115,2025-03
forecast,C10,111,2025-04
actual,C10,96,2025-04
forecast,C10,116,2025-05
actual,C10,120,2025-05
forecast,C10,123,2025-06
actual,C10,130,2025-06
forecast,C10,128,2025-07
actual,C10,134,2025-07
forecast,C10,135,2025-08
actual,C10,139,2025-08
forecast,C10,134,2025-09
actual,C10,139,2025-09
forecast,C10,133,2025-10
actual,C10,120,2025-10
